"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"AP6731","226731","870057"
"AP6757","226757","870049"
"AP6892","226892","870043"
"AP6892","226893","870042"
"AP6916","226916","870028"
"AP6916C","226995","870027"
"AP6982","226982","870008"
"AP6983","226983","870007"
"AP6988","226988","870026"
"AP7054","227054","870006"
"AP7059","227059","870005"
"AP7060","227060","870ZZV"
"AP7066","227066","870ZZE"
"AP7067","227067","870ZZS"
"AP7067","227068","870ZZQ"
"AP7067","227069","870ZZR"
"AP7070","227070","870ZZF"
"AP7071","227071","870ZZP"
"AP7072","227072","870ZZL"
"AP7073","227073","870ZZM"
"AP7074","227074","870ZZK"
"AP7075","227075","870ZZI"
"AP7076","227076","870ZZJ"
"AP7077","227077","870ZZT"
"AP7079","227079","870ZZH"
"AP7079","227080","870ZZG"
"AP7107","227107","870022"
"AP7133","227133","870002"
"AP7133","227134","846058"
"AP7146","227146","870001"
"AP7146","227147","870000"
"AP7148","227148","870004"
"AP7148","227149","870003"
"AP7155","227155","870ZZZ"
"AP7155","227156","870ZZY"
"AP7157","227157","870017"
"AP7157","227158","870016"
"AP7159","227159","870015"
"AP7159","227160","870014"
"AP7161","227161","870ZZX"
"AP7161","227162","870ZZW"
"AP7168","227168","870020"
"AP7168","227169","870019"
"AP7168","227170","870018"
"AP7188","227188","870ZZ9"
"AP7189","227189","870009"
"AP7198","227198","870ZZ5"
"AP7198","227199","870ZZ4"
"AP7209","227209","870ZZ6"
"AP7210","227210","870ZZC"
"AP7211","227211","870ZZ0"
"AP7212","227212","870ZZ7"
"AP7213","227213","870ZZ2"
"AP7214","227214","870ZYZ"
"AP7215","227215","870ZZ1"
"AP7216","227216","870ZZ8"
"AP7217","227217","870ZZ3"
"AP7218","227218","870ZZB"
"AP7219","227219","870ZZA"
"AP7258","227258","870ZZD"
"AP7303","227303","870ZYW"
"AP7315","227315","870ZYU"
"AP7317","227317","870ZYF"
"AP7317","227318","870ZYE"
"AP7343","227343","870ZYV"
"AP7383","227383","870ZYP"
"AP7390","227390","870ZYR"
"AP7390","227391","870ZYQ"
"AP7390","227392","870ZYO"
"AP7422","227422","870ZYH"
"AP7422C","227423","870ZYG"
"AP7422C","228203","870ZVG"
"AP7424","227424","870ZYS"
"AP7424","227425","870ZYN"
"AP7424C","227426","870ZYM"
"AP7424C","227427","870ZYL"
"AP7449","227449","870ZYK"
"AP7484","227484","870ZYD"
"AP7502","227502","870ZYC"
"AP7559","227559","870ZYB"
"AP7565","227565","870ZYA"
"AP7565C","227566","870ZY9"
"AP7612","227612","870ZY7"
"AP7616","227616","870ZY8"
"AP7674","227674","870ZY6"
"AP7688","227688","870ZY5"
"AP7762","227762","870ZY0"
"AP7766","227766","870ZY0"
"AP7766","228071","870ZW2"
"AP7854","227854","870ZXI"
"AP7854","227855","870ZXH"
"AP7857","227857","870ZXT"
"AP7857","227858","870ZXS"
"AP7875","227875","870ZXY"
"AP7892","227892","870ZX7"
"AP7892","227893","870ZX6"
"AP7892","227894","870ZX5"
"AP7902","227902","870ZXX"
"AP7905","227905","870ZXP"
"AP7905","227906","846ZZY"
"AP7914","227914","870ZXM"
"AP7914","227915","870ZXL"
"AP7916","227916","870ZXR"
"AP7916","227917","870ZXQ"
"AP7921","227921","870ZXK"
"AP7921","227922","870ZXJ"
"AP7923","227923","870ZXO"
"AP7923","227924","870ZXN"
"AP7932","227932","870ZXG"
"AP7933","227933","870ZXA"
"AP7933","227934","870ZX9"
"AP7933","227935","870ZX8"
"AP7933","227936","848562"
"AP7937","227937","870ZXF"
"AP7937","227938","870ZXE"
"AP7937","227939","738852"
"AP7940","227940","870ZXD"
"AP7941","227941","870ZWQ"
"AP7942","227942","870ZWZ"
"AP7946","227946","870ZWY"
"AP7948","227948","870ZXC"
"AP7948","227949","870ZXB"
